"Date","Open","High","Low","Close","Volume"
"Nov 22, 2023","5,175.00","5,300.00","5,175.00","5,275.00","103,585,500"
"Nov 21, 2023","5,225.00","5,250.00","5,175.00","5,200.00","104,110,500"
"Nov 20, 2023","5,175.00","5,275.00","5,175.00","5,250.00","54,123,600"
"Nov 17, 2023","5,175.00","5,250.00","5,175.00","5,225.00","70,727,500"
"Nov 16, 2023","5,275.00","5,275.00","5,175.00","5,250.00","99,488,800"
"Nov 15, 2023","5,200.00","5,300.00","5,175.00","5,250.00","193,790,400"
"Nov 14, 2023","5,075.00","5,125.00","5,050.00","5,075.00","85,419,500"
"Nov 13, 2023","5,075.00","5,125.00","5,025.00","5,025.00","63,126,900"
"Nov 10, 2023","5,150.00","5,150.00","5,050.00","5,075.00","113,811,900"
"Nov 9, 2023","5,225.00","5,275.00","5,200.00","5,200.00","66,236,400"
"Nov 8, 2023","5,200.00","5,250.00","5,175.00","5,225.00","86,713,700"
"Nov 7, 2023","5,225.00","5,275.00","5,175.00","5,250.00","137,039,400"
"Nov 6, 2023","5,100.00","5,200.00","5,100.00","5,200.00","122,333,800"
"Nov 3, 2023","5,025.00","5,175.00","5,025.00","5,100.00","125,504,000"
"Nov 2, 2023","4,940.00","5,075.00","4,910.00","5,000.00","208,075,400"
"Nov 1, 2023","4,920.00","4,960.00","4,830.00","4,830.00","191,567,200"
"Oct 31, 2023","4,980.00","5,000.00","4,960.00","4,960.00","106,760,300"
"Oct 30, 2023","4,980.00","5,025.00","4,970.00","5,000.00","108,523,700"
"Oct 27, 2023","4,950.00","5,050.00","4,940.00","5,000.00","129,599,800"
"Oct 26, 2023","5,175.00","5,175.00","4,920.00","4,920.00","330,618,800"
"Oct 25, 2023","5,100.00","5,200.00","5,100.00","5,175.00","142,215,000"
"Oct 24, 2023","5,000.00","5,100.00","4,950.00","5,100.00","104,021,500"
"Oct 23, 2023","5,000.00","5,075.00","4,990.00","5,000.00","82,756,100"
"Oct 20, 2023","4,980.00","5,100.00","4,960.00","5,050.00","173,353,600"
"Oct 19, 2023","5,100.00","5,150.00","5,000.00","5,000.00","195,831,400"
"Oct 18, 2023","5,125.00","5,225.00","5,125.00","5,150.00","77,217,600"
"Oct 17, 2023","5,250.00","5,275.00","5,150.00","5,150.00","127,287,200"
"Oct 16, 2023","5,325.00","5,325.00","5,250.00","5,250.00","45,782,300"
"Oct 13, 2023","5,275.00","5,325.00","5,250.00","5,275.00","84,648,800"
"Oct 12, 2023","5,300.00","5,375.00","5,275.00","5,300.00","174,022,400"
"Oct 11, 2023","5,150.00","5,275.00","5,150.00","5,250.00","100,394,800"
"Oct 10, 2023","5,125.00","5,250.00","5,125.00","5,175.00","98,457,000"
"Oct 9, 2023","5,200.00","5,225.00","5,125.00","5,125.00","144,477,000"
"Oct 6, 2023","5,200.00","5,250.00","5,175.00","5,175.00","70,202,300"
"Oct 5, 2023","5,250.00","5,275.00","5,175.00","5,175.00","116,814,800"
"Oct 4, 2023","5,250.00","5,275.00","5,200.00","5,250.00","121,445,000"
"Oct 3, 2023","5,250.00","5,300.00","5,250.00","5,275.00","54,462,700"
"Oct 2, 2023","5,250.00","5,300.00","5,250.00","5,250.00","81,674,600"
"Sep 29, 2023","5,300.00","5,325.00","5,225.00","5,225.00","140,331,100"
"Sep 27, 2023","5,175.00","5,300.00","5,175.00","5,225.00","119,774,700"
"Sep 26, 2023","5,250.00","5,275.00","5,200.00","5,200.00","180,280,600"
"Sep 25, 2023","5,325.00","5,350.00","5,200.00","5,300.00","120,196,700"
"Sep 22, 2023","5,350.00","5,425.00","5,350.00","5,350.00","83,184,100"
"Sep 21, 2023","5,425.00","5,425.00","5,350.00","5,350.00","68,584,900"
"Sep 20, 2023","5,350.00","5,450.00","5,350.00","5,375.00","98,710,100"
"Sep 19, 2023","5,325.00","5,375.00","5,300.00","5,375.00","50,612,700"
"Sep 18, 2023","5,350.00","5,400.00","5,300.00","5,325.00","61,329,000"
"Sep 15, 2023","5,400.00","5,450.00","5,375.00","5,375.00","141,455,400"
"Sep 14, 2023","5,325.00","5,425.00","5,325.00","5,425.00","76,831,700"
"Sep 13, 2023","5,350.00","5,425.00","5,350.00","5,400.00","59,408,000"
"Sep 12, 2023","5,450.00","5,475.00","5,375.00","5,375.00","121,654,400"
"Sep 11, 2023","5,350.00","5,425.00","5,300.00","5,425.00","80,474,100"
"Sep 8, 2023","5,425.00","5,450.00","5,300.00","5,350.00","243,324,500"
"Sep 7, 2023","5,525.00","5,550.00","5,450.00","5,450.00","157,998,600"
"Sep 6, 2023","5,625.00","5,650.00","5,575.00","5,575.00","106,367,800"
"Sep 5, 2023","5,625.00","5,650.00","5,600.00","5,625.00","72,464,300"
"Sep 4, 2023","5,600.00","5,625.00","5,575.00","5,625.00","43,898,200"
"Sep 1, 2023","5,600.00","5,600.00","5,525.00","5,575.00","87,366,100"
"Aug 31, 2023","5,525.00","5,550.00","5,475.00","5,550.00","175,088,200"
"Aug 30, 2023","5,600.00","5,600.00","5,500.00","5,525.00","171,282,700"
"Aug 29, 2023","5,525.00","5,600.00","5,525.00","5,600.00","57,547,200"
"Aug 28, 2023","5,600.00","5,625.00","5,550.00","5,550.00","37,126,600"
"Aug 25, 2023","5,550.00","5,600.00","5,525.00","5,600.00","65,096,500"
